attended_lower,,attended_upper,,unattended_lower,,unattended_upper,
X,Y,X,Y,X,Y,X,Y
-50.20964360587001,1.1324643078833023,-49.685534591194966,1.1600869025450031,-49.161425576519946,1.133395406579764,-50.20964360587001,1.1591558038485412
-46.54088050314465,1.1321539416511484,-45.49266247379455,1.1545003103662321,-43.39622641509433,1.128739913097455,-42.34800838574424,1.1526381129733085
-43.92033542976938,1.1293606455617629,-40.251572327044045,1.1513966480446927,-38.67924528301887,1.1259466170080694,-27.148846960167702,1.155431409062694
-40.251572327044045,1.1265673494723774,-36.058700209643604,1.1572936064556176,-32.38993710691824,1.1290502793296089,-19.811320754716974,1.1538795779019242
-35.01048218029351,1.133705772811918,-25.57651991614256,1.1538795779019242,-25.052410901467482,1.128739913097455,-14.570230607966465,1.150465549348231
-27.67295597484275,1.1312228429546864,-15.094339622641513,1.1476722532588455,-15.618448637316561,1.1302917442582248,-10.377358490566024,1.1458100558659217
-21.907756813417194,1.1296710117939168,-2.5157232704402475,1.1482929857231532,-3.0398322851152955,1.1278088144009932,6.394129979035654,1.143947858472998
-18.763102725366878,1.128119180633147,4.821802935010481,1.145499689633768,15.828092243186603,1.1256362507759154,15.828092243186603,1.1423960273122284
-16.142557651991638,1.1256362507759154,14.779874213836479,1.1420856610800745,28.40670859538784,1.1216014897579143,25.786163522012572,1.1461204220980756
-13.52201257861637,1.1212911235257603,28.93081761006289,1.1405338299193046,33.64779874213835,1.1181874612042209,31.551362683438157,1.1473618870266915
-7.756813417190784,1.1209807572936064,35.22012578616352,1.1408441961514586,37.84067085953879,1.1048417132216015,33.1236897274633,1.1423960273122284
-3.5639412997903435,1.123153320918684,40.98532494758908,1.1250155183116077,44.12997903563942,1.0741154562383612,38.36477987421384,1.1327746741154563
9.538784067085942,1.1209807572936064,43.08176100628933,1.1110490378646802,48.84696016771491,1.0523898199875854,40.46121593291403,1.1228429546865302
28.93081761006289,1.1169459962756052,45.17819706498952,1.0930477963997516,55.66037735849059,1.0322160148975792,43.08176100628933,1.1054624456859092
34.171907756813425,1.1157045313469893,47.27463312368971,1.0790813159528243,66.14255765199161,1.012042209807573,46.75052410901466,1.086530105524519
37.84067085953879,1.0995654872749845,52.51572327044025,1.0567349472377405,73.48008385744234,0.9999379267535692,49.89517819706501,1.0660459342023587
43.605870020964375,1.0781502172563624,59.853249475890976,1.037492240844196,73.48008385744234,0.995592799503414,55.66037735849059,1.0474239602731223
46.75052410901466,1.0551831160769707,70.33542976939205,1.0213531967721912,78.72117400419287,0.9968342644320298,63.52201257861637,1.0331471135940409
53.56394129979034,1.0309745499689633,76.62473794549263,1.01731843575419,82.38993710691827,0.9931098696461825,70.33542976939205,1.0201117318435755
61.42557651991612,1.0176288019863438,81.34171907756817,1.0213531967721912,88.67924528301884,0.9940409683426443,74.00419287211739,1.0182495344506517
66.14255765199161,1.0095592799503414,88.67924528301884,1.0176288019863438,96.01677148846963,0.9918684047175668,80.29350104821802,1.0135940409683426
70.33542976939205,1.0042830540037244,96.01677148846963,1.0154562383612662,98.11320754716982,0.9962135319677219,90.25157232704404,1.011421477343265
71.38364779874215,1.001489757914339,103.3542976939203,1.0139044072004966,104.40251572327045,0.9983860955927994,100.73375262054512,1.011731843575419
78.72117400419287,0.9993171942892614,111.74004192872118,1.0185599006828057,112.26415094339623,1.0030415890751085,110.16771488469604,1.01731843575419
81.86582809224322,1.0030415890751085,119.60167714884696,1.0312849162011173,121.1740041928721,1.0154562383612662,116.98113207547172,1.0263190564866542
86.58280922431865,1.0018001241464929,127.46331236897274,1.0387337057728119,126.93920335429769,1.0225946617008068,123.7945492662474,1.0402855369335815
93.39622641509433,0.9990068280571074,136.89727463312366,1.0387337057728119,134.80083857442347,1.0294227188081937,135.84905660377356,1.048665425201738
103.87840670859535,0.9968342644320298,141.0901467505241,1.0362507759155803,144.7589098532495,1.0365611421477343,146.33123689727464,1.0530105524518931
115.40880503144658,1.0033519553072625,152.09643605870022,1.038423339540658,155.2410901467505,1.044009931719429,151.57232704402517,1.0570453134698945
121.1740041928721,1.0145251396648045,162.05450733752625,1.0409062693978894,164.15094339622644,1.0443202979515829,156.8134171907757,1.05983860955928
125.36687631027254,1.0204220980757293,170.96436058700212,1.0393544382371198,171.48846960167717,1.0409062693978894,166.2473794549267,1.0613904407200496
133.22851153039838,1.0225946617008068,177.7777777777778,1.0387337057728119,176.7295597484277,1.0443202979515829,170.96436058700212,1.0576660459342024
141.61425576519915,1.0191806331471136,181.97064989517824,1.0356300434512724,182.4947589098533,1.043699565487275,175.6813417190776,1.0601489757914337
149.47589098532498,1.0194909993792676,190.35639412997907,1.0322160148975792,184.59119496855342,1.0464928615766604,182.4947589098533,1.0604593420235877
153.14465408805032,1.0229050279329608,197.16981132075475,1.0306641837368093,192.45283018867926,1.04804469273743,188.25995807127882,1.0629422718808192
158.38574423480085,1.0232153941651148,208.70020964360592,1.0331471135940409,201.36268343815513,1.0446306641837368,195.07337526205455,1.0654252017380508
162.5786163522013,1.0253879577901923,220.23060796645703,1.0359404096834264,209.22431865828096,1.0499068901303539,203.45911949685532,1.059217877094972
169.91614255765197,1.0225946617008068,232.2851153039833,1.037492240844196,214.4654088050315,1.0452513966480446,209.748427672956,1.0632526381129732
176.20545073375266,1.0198013656114215,245.38784067085956,1.037492240844196,220.75471698113208,1.0446306641837368,217.08595387840668,1.0613904407200496
181.4465408805032,1.022284295468653,257.4423480083858,1.0368715083798883,224.94758909853252,1.048975791433892,229.14046121593296,1.0669770328988206
186.16352201257862,1.0154562383612662,267.4004192872118,1.0371818746120423,228.6163522012579,1.048355058969584,240.67085953878407,1.070391061452514
200.31446540880503,1.0132836747361886,276.83438155136275,1.0505276225946616,234.9056603773585,1.0517690875232775,250.62893081761004,1.0626319056486655
212.8930817610063,1.0160769708255741,285.2201257861635,1.0657355679702047,240.67085953878407,1.053320918684047,257.4423480083858,1.0620111731843576
221.80293501048217,1.0198013656114215,293.0817610062893,1.0694599627560522,247.4842767295598,1.048665425201738,277.35849056603774,1.080943513345748
238.05031446540883,1.0207324643078832,294.6540880503145,1.0772191185599007,250.104821802935,1.0461824953445065,289.937106918239,1.09211669770329
249.58071278825994,1.0204220980757293,301.4675052410902,1.095841092489137,260.5870020964361,1.0458721291123525,300.4192872117401,1.1054624456859092
257.9664570230608,1.0191806331471136,308.80503144654085,1.1129112352576038,274.21383647798746,1.059528243327126,311.42557651991615,1.1206703910614524
264.2557651991614,1.0179391682184977,319.81132075471703,1.1166356300434512,282.07547169811323,1.0688392302917442,314.04612159329145,1.1262569832402234
271.59329140461216,1.0238361266294227,326.1006289308176,1.1240844196151458,293.0817610062893,1.0778398510242084,321.9077568134171,1.1237740533829919
278.93081761006295,1.0390440720049658,330.8176100628931,1.1243947858472998,310.37735849056605,1.097082557417753,322.4318658280923,1.1274984481688393
288.3647798742138,1.0495965238982,335.0104821802935,1.143947858472998,325.0524109014675,1.1166356300434512,330.293501048218,1.1299813780260708
292.5576519916143,1.0495965238982,340.25157232704396,1.1563625077591557,333.4381551362684,1.1250155183116077,336.0587002096436,1.143637492240844
297.7987421383648,1.0638733705772812,344.96855345911945,1.1594661700806952,342.34800838574427,1.1318435754189944,341.82389937106916,1.15512104283054
304.61215932914047,1.0821849782743638,346.54088050314465,1.154810676598386,350.20964360587004,1.139292364990689,344.96855345911945,1.1582247051520793
310.90146750524104,1.091806331471136,351.25786163522014,1.1560521415270018,357.5471698113207,1.1430167597765362,349.68553459119494,1.1631905648665424
315.61844863731653,1.0945996275605214,356.4989517819706,1.1510862818125387,364.8846960167715,1.1430167597765362,354.9266247379454,1.1678460583488517
321.9077568134171,1.096772191185599,360.6918238993711,1.1479826194909992,373.7945492662474,1.1433271260086901,360.6918238993711,1.1687771570453134
328.1970649895178,1.101427684667908,367.5052410901468,1.1613283674736188,383.75262054507346,1.1467411545623836,364.8846960167715,1.1690875232774673
331.8658280922432,1.1082557417752947,372.2222222222222,1.1690875232774673,394.2348008385744,1.1541899441340782,371.6981132075472,1.1703289882060832
333.9622641509434,1.1119801365611421,375.89098532494756,1.1756052141527,397.9035639412998,1.1566728739913097,380.08385744234806,1.170949720670391
337.1069182389938,1.1209807572936064,382.18029350104825,1.1749844816883923,,,385.84905660377365,1.1725015518311608
338.6792452830189,1.128119180633147,384.27672955974845,1.170949720670391,,,392.1383647798742,1.1715704531346989
347.58909853249475,1.1324643078833023,396.8553459119497,1.1659838609559279,,,396.8553459119497,1.1697082557417753
352.30607966457023,1.1312228429546864,,,,,,
354.9266247379454,1.1265673494723774,,,,,,
360.167714884696,1.1240844196151458,,,,,,
366.9811320754717,1.133705772811918,,,,,,
371.6981132075472,1.138671632526381,,,,,,
374.31865828092236,1.1461204220980756,,,,,,
382.70440251572336,1.1479826194909992,,,,,,
389.5178197064989,1.144258224705152,,,,,,
396.8553459119497,1.1414649286157665,,,,,,
398.9517819706499,1.1402234636871509,,,,,,
